25
(-34.99, -44.38, 0.00)
(-89.68, -13.80, 0.00)
(-78.66, 73.38, 0.00)
(-109.49, 101.58, 0.00)
(-169.20, 70.34, 0.00)
(-233.60, 18.49, 0.00)
(-174.75, -32.89, 0.00)
(-16.11, -137.17, 0.00)
(54.94, -177.39, 0.00)
(107.25, -144.76, 0.00)
(165.96, -174.28, 0.00)
(228.83, -120.66, 0.00)
(190.93, 0.92, 0.00)
(150.71, 48.08, 0.00)
(122.04, 33.28, 0.00)
(141.92, -61.02, 0.00)
(64.72, -93.84, 0.00)
(48.54, -36.52, 0.00)
(44.38, 24.50, 0.00)
(74.89, 75.35, 0.00)
(102.63, 111.87, 0.00)
(109.10, 166.42, 0.00)
(47.15, 177.98, 0.00)
(-0.92, 48.54, 0.00)
(-11.09, -21.73, 0.00)
